original_folder_name,cleaned_folder_name,original_file_name,cleaned_file_name,slug,alt_text,download_link
Celebrity Photos,Celebrity_Photos,1-kirk douglas.jpg,1-kirk_douglas.jpg,1-kirk-douglas,1-Kirk Douglas,https://hbapi.leeseaver.com/processed/Celebrity_Photos/1-kirk_douglas.jpg
Celebrity Photos,Celebrity_Photos,1-PIERCE BROSNAN-NEW.jpg,1-PIERCE_BROSNAN-NEW.jpg,1-pierce-brosnan-new,1-Pierce Brosnan-New,https://hbapi.leeseaver.com/processed/Celebrity_Photos/1-PIERCE_BROSNAN-NEW.jpg
Celebrity Photos,Celebrity_Photos,1_Fran dresher_bora bora.jpg,1_Fran_dresher_bora_bora.jpg,1-fran-dresher-bora-bora,1 Fran Dresher Bora Bora,https://hbapi.leeseaver.com/processed/Celebrity_Photos/1_Fran_dresher_bora_bora.jpg
Celebrity Photos,Celebrity_Photos,3-michele phillips.jpg,3-michele_phillips.jpg,3-michele-phillips,3-Michele Phillips,https://hbapi.leeseaver.com/processed/Celebrity_Photos/3-michele_phillips.jpg
Celebrity Photos,Celebrity_Photos,3-pierce & keely_.jpg,3-pierce_&_keely_.jpg,3-pierce--keely-,3-Pierce & Keely ,https://hbapi.leeseaver.com/processed/Celebrity_Photos/3-pierce_&_keely_.jpg
Celebrity Photos,Celebrity_Photos,alana ubach.jpg,alana_ubach.jpg,alana-ubach,Alana Ubach,https://hbapi.leeseaver.com/processed/Celebrity_Photos/alana_ubach.jpg
Celebrity Photos,Celebrity_Photos,Anthony Quinn and Francesco Quinn.jpg,Anthony_Quinn_and_Francesco_Quinn.jpg,anthony-quinn-and-francesco-quinn,Anthony Quinn And Francesco Quinn,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Anthony_Quinn_and_Francesco_Quinn.jpg
Celebrity Photos,Celebrity_Photos,Antonio Bandera V2_web.jpg,Antonio_Bandera_V2_web.jpg,antonio-bandera-v2-web,Antonio Bandera V2 Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Antonio_Bandera_V2_web.jpg
Celebrity Photos,Celebrity_Photos,BRESHA .jpg,BRESHA_.jpg,bresha-,Bresha ,https://hbapi.leeseaver.com/processed/Celebrity_Photos/BRESHA_.jpg
Celebrity Photos,Celebrity_Photos,Burt Reynolds 03.jpg,Burt_Reynolds_03.jpg,burt-reynolds-03,Burt Reynolds 03,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Burt_Reynolds_03.jpg
Celebrity Photos,Celebrity_Photos,Burt reynolds 1.jpg,Burt_reynolds_1.jpg,burt-reynolds-1,Burt Reynolds 1,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Burt_reynolds_1.jpg
Celebrity Photos,Celebrity_Photos,Burt Reynolds.jpg,Burt_Reynolds.jpg,burt-reynolds,Burt Reynolds,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Burt_Reynolds.jpg
Celebrity Photos,Celebrity_Photos,Caprice.jpg,Caprice.jpg,caprice,Caprice,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Caprice.jpg
Celebrity Photos,Celebrity_Photos,CATHERINE OXENBERG & HUSBAND v2.jpg,CATHERINE_OXENBERG_&_HUSBAND_v2.jpg,catherine-oxenberg--husband-v2,Catherine Oxenberg & Husband V2,https://hbapi.leeseaver.com/processed/Celebrity_Photos/CATHERINE_OXENBERG_&_HUSBAND_v2.jpg
Celebrity Photos,Celebrity_Photos,charlie rocket 2 b.jpg,charlie_rocket_2_b.jpg,charlie-rocket-2-b,Charlie Rocket 2 B,https://hbapi.leeseaver.com/processed/Celebrity_Photos/charlie_rocket_2_b.jpg
